trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,11,-34.02349835015937,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",25,0,-53.75802289277118,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,0,-43.81505684878409,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-30.956868125877698,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,15,-3.201985777134133,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,0,-191.43023293769187,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-97.22867427719649,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,0,-41.90181994938515,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,0,-23.11777678079573,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-21.22288121498075,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,6,-13.912960975394142,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,7,23.38417309853914,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-253.7480532903915,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 5}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,13,-8.033731503202016,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,0,-127.94280166563128,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,13,-10.866579328635854,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,14,-11.70940393668609,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",25,2,-39.23105079781443,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",25,6,-60.87822701978363,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",30,6,-44.19298697148883,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,0,-79.66596207038504,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-19.579150626548675,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,4,-11.907456130670885,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,-25.9694643202655,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",30,16,-27.583360191023495,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",25,0,-94.23201938738607,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",30,8,-120.60018160120164,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 3}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,-78.45738777423165,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,8,-41.31269285626543,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,18,4.43225528595886,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,0,-38.597904224970016,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,6,-68.85689469122886,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,2,-33.281374903496996,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,8,-10.47856108096248,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,0,-35.00200358028057,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",30,14,-43.67671628533704,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,0,-20.365723209528035,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",25,13,-65.74852583594507,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,11,-36.47915364808173,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",30,0,-87.14563323094694,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",30,1,-16.75884990230535,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,11,1.3398807590299835,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.475340042005707}",25,0,-53.47283594819564,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",25,0,-37.63037895346652,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",25,2,-82.38519112874987,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 2}",1
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",20,3,27.585000414480582,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",25,10,5.716798355338963,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",30,8,-42.34393524148864,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,7,-4.359267696158174,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",20,3,-77.89059262975873,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",20,0,13.694547149765452,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",25,18,-30.12129466489049,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",35,10,8.325204737142673,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",20,4,-18.82706018796476,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",20,6,-61.11005023066021,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",30,3,-1.6291457318409952,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",20,7,-66.54776050365297,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",25,8,14.635182471058972,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783239}",20,12,-10.660577943139748,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154065}",20,3,-60.689911010776584,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.39667780642202527}",25,0,0.664695940217779,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.392711028357805}",25,12,12.706604262504516,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.38878391807422696}",20,0,-1.918031534654001,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.3848960788934847}",30,0,-64.05932493521206,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.38104711810454983}",30,15,8.428034596813587,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350434}",20,6,-33.072151350785035,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426927}",25,15,6.440816459611055,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972655}",25,0,-16.02585304024635,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.36603234127322926}",35,18,-40.49403860362767,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.36237201786049694}",35,13,-49.27099775039052,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.358748297681892}",20,0,10.570057105397936,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.35516081470507305}",30,15,-47.799275291096805,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3516092065580223}",30,0,-33.25116165684897,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.34809311449244207}",30,19,17.773622239438264,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.34461218334751764}",20,0,31.58862026366605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,7,-43.8671763486971,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",30,9,6.404870815189506,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,0,19.153234701769094,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",25,0,-5.631069148092877,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,9,7.0694381713834655,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,0,0.11456650034970828,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
